Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Other,52,Complicated,Medium ($20-$100),First Valentine,Sentimental,6 months - 1 year,Fashion,Prefers practical gifts,Very Popular,Celebration,Disliked,Planned Surprise,Fancy Wrapping,Personalized Gift
Other,40,Complicated,High ($100-$500),Anniversary Valentine,Surprise,<6 months,Gaming,Has allergies,Moderately Popular,Expression of Love,Disliked,In-Person,Eco-Friendly,Perfume
Male,29,Engaged,Luxury (>$500),First Valentine,Surprise,1-3 years,Music,Loves surprises,Very Popular,Expression of Love,Disliked,Planned Surprise,Fancy Wrapping,Handmade Gift
Female,58,Complicated,Medium ($20-$100),Casual Valentine,Romantic,1-3 years,Fitness,Prefers practical gifts,Very Popular,Celebration,Never Given Gift Before,Courier,Eco-Friendly,Handmade Gift
Female,28,Dating,Luxury (>$500),Casual Valentine,Surprise,1-3 years,Sports,Has allergies,Moderately Popular,Apology,Neutral,Online Delivery,Minimalist,Fashion Accessories
Non-Binary,22,Engaged,Medium ($20-$100),First Valentine,Romantic,<6 months,Art,Prefers experiences over items,Very Popular,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Fashion Accessories
Non-Binary,27,Complicated,High ($100-$500),Anniversary Valentine,Luxury,1-3 years,Fashion,Has allergies,Moderately Popular,Celebration,Disliked,Courier,Eco-Friendly,Subscription Service
Non-Binary,21,Dating,Luxury (>$500),Anniversary Valentine,Fun,1-3 years,Reading,Prefers practical gifts,Rare Choice,Expression of Love,Disliked,Planned Surprise,Eco-Friendly,Tech Gadgets
Other,26,Dating,Luxury (>$500),Long-Distance Valentine,Practical,1-3 years,Gaming,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Minimalist,Fashion Accessories
Non-Binary,43,Married,Medium ($20-$100),Casual Valentine,Romantic,3+ years,Art,Handmade gifts appreciated,Very Popular,Celebration,Never Given Gift Before,Courier,Fancy Wrapping,Fashion Accessories
Male,37,Married,Luxury (>$500),Casual Valentine,Luxury,<6 months,Gaming,Tech-savvy,Moderately Popular,Expression of Love,Neutral,Online Delivery,Eco-Friendly,Fashion Accessories
Non-Binary,23,Single,Luxury (>$500),Casual Valentine,Surprise,6 months - 1 year,Art,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,In-Person,No Wrapping,Flowers
Other,34,Married,Medium ($20-$100),Anniversary Valentine,Luxury,6 months - 1 year,Art,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Minimalist,Fashion Accessories
Female,45,Engaged,Low (<$20),First Valentine,Luxury,1-3 years,Sports,Prefers experiences over items,Very Popular,Apology,Never Given Gift Before,Courier,No Wrapping,Personalized Gift
Non-Binary,33,Engaged,Luxury (>$500),Long-Distance Valentine,Luxury,6 months - 1 year,Music,Handmade gifts appreciated,Rare Choice,Celebration,Disliked,In-Person,Fancy Wrapping,Tech Gadgets
Other,18,Complicated,High ($100-$500),Long-Distance Valentine,Luxury,3+ years,Fashion,Prefers practical gifts,Rare Choice,Expression of Love,Neutral,In-Person,No Wrapping,Personalized Gift
Non-Binary,30,Engaged,Medium ($20-$100),Casual Valentine,Practical,3+ years,Gaming,Prefers practical gifts,Very Popular,Celebration,Neutral,Courier,Fancy Wrapping,Personalized Gift
Male,27,Dating,High ($100-$500),Anniversary Valentine,Fun,6 months - 1 year,Fitness,Enjoys luxury items,Moderately Popular,Expression of Love,Neutral,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,46,Complicated,Medium ($20-$100),First Valentine,Luxury,6 months - 1 year,Reading,Handmade gifts appreciated,Moderately Popular,Expression of Love,Neutral,Courier,Minimalist,Handmade Gift
Female,24,Dating,Luxury (>$500),First Valentine,Sentimental,1-3 years,Travel,Has allergies,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Fancy Wrapping,Personalized Gift
Non-Binary,48,Married,Low (<$20),Long-Distance Valentine,Practical,3+ years,Fashion,Prefers practical gifts,Very Popular,Apology,Disliked,Online Delivery,No Wrapping,Perfume
Male,26,Single,Low (<$20),First Valentine,Surprise,1-3 years,Gaming,Enjoys luxury items,Rare Choice,Expression of Love,Highly Appreciated,Planned Surprise,No Wrapping,Chocolates
Female,24,Single,Medium ($20-$100),Long-Distance Valentine,Surprise,3+ years,Fitness,Prefers practical gifts,Very Popular,Apology,Neutral,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,44,Dating,High ($100-$500),Long-Distance Valentine,Fun,1-3 years,Cooking,Enjoys luxury items,Rare Choice,Celebration,Disliked,Planned Surprise,Eco-Friendly,Jewelry
Male,23,Married,Low (<$20),First Valentine,Romantic,<6 months,Technology,Prefers experiences over items,Very Popular,Celebration,Highly Appreciated,In-Person,Fancy Wrapping,Jewelry
Other,55,Dating,Low (<$20),First Valentine,Romantic,3+ years,Fashion,Enjoys luxury items,Moderately Popular,Apology,Neutral,In-Person,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,59,Engaged,Luxury (>$500),Long-Distance Valentine,Luxury,3+ years,Sports,Prefers experiences over items,Rare Choice,Spontaneous Surprise,Disliked,In-Person,Fancy Wrapping,Personalized Gift
Male,31,Dating,Medium ($20-$100),Long-Distance Valentine,Fun,6 months - 1 year,Travel,Has allergies,Very Popular,Apology,Disliked,Planned Surprise,Fancy Wrapping,Perfume
Other,54,Engaged,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Music,Enjoys luxury items,Very Popular,Celebration,Never Given Gift Before,Courier,No Wrapping,Subscription Service
Male,46,Complicated,High ($100-$500),Long-Distance Valentine,Romantic,<6 months,Cooking,Tech-savvy,Moderately Popular,Celebration,Neutral,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Non-Binary,35,Single,High ($100-$500),Casual Valentine,Fun,<6 months,Art,Prefers practical gifts,Moderately Popular,Expression of Love,Neutral,Online Delivery,Eco-Friendly,Subscription Service
Female,34,Married,Luxury (>$500),Long-Distance Valentine,Luxury,6 months - 1 year,Reading,Prefers experiences over items,Moderately Popular,Apology,Disliked,Online Delivery,Minimalist,Tech Gadgets
Non-Binary,30,Dating,Luxury (>$500),Casual Valentine,Surprise,1-3 years,Technology,Tech-savvy,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Minimalist,Perfume
Other,33,Complicated,High ($100-$500),Long-Distance Valentine,Practical,1-3 years,Gaming,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,No Wrapping,Flowers
Male,58,Single,High ($100-$500),Casual Valentine,Sentimental,1-3 years,Reading,Tech-savvy,Moderately Popular,Expression of Love,Neutral,In-Person,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,24,Married,Luxury (>$500),First Valentine,Surprise,3+ years,Reading,Prefers experiences over items,Rare Choice,Spontaneous Surprise,Disliked,Courier,No Wrapping,Perfume
Male,35,Engaged,Medium ($20-$100),Long-Distance Valentine,Romantic,<6 months,Cooking,Loves surprises,Rare Choice,Spontaneous Surprise,Neutral,Courier,No Wrapping,Chocolates
Female,36,Complicated,High ($100-$500),Anniversary Valentine,Luxury,1-3 years,Technology,Tech-savvy,Very Popular,Apology,Disliked,In-Person,Fancy Wrapping,Jewelry
Female,36,Complicated,Luxury (>$500),First Valentine,Fun,<6 months,Fitness,Enjoys luxury items,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,Minimalist,Personalized Gift
Male,35,Dating,High ($100-$500),First Valentine,Romantic,6 months - 1 year,Travel,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,Planned Surprise,No Wrapping,Fashion Accessories
Other,47,Married,Medium ($20-$100),Casual Valentine,Practical,6 months - 1 year,Sports,Prefers experiences over items,Very Popular,Expression of Love,Never Given Gift Before,Online Delivery,No Wrapping,Chocolates
Male,41,Dating,Low (<$20),Anniversary Valentine,Practical,1-3 years,Art,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,In-Person,Fancy Wrapping,Tech Gadgets
Female,38,Single,Medium ($20-$100),Long-Distance Valentine,Romantic,3+ years,Gaming,Prefers practical gifts,Moderately Popular,Apology,Highly Appreciated,Courier,Minimalist,Personalized Gift
Male,35,Dating,Luxury (>$500),Casual Valentine,Sentimental,3+ years,Sports,Loves surprises,Moderately Popular,Celebration,Neutral,Online Delivery,No Wrapping,Jewelry
Male,57,Complicated,High ($100-$500),Anniversary Valentine,Practical,1-3 years,Art,Handmade gifts appreciated,Rare Choice,Expression of Love,Disliked,Online Delivery,Fancy Wrapping,Chocolates
Non-Binary,24,Single,Medium ($20-$100),Anniversary Valentine,Luxury,1-3 years,Fitness,Tech-savvy,Very Popular,Expression of Love,Highly Appreciated,Courier,Eco-Friendly,Tech Gadgets
Non-Binary,21,Married,Medium ($20-$100),Casual Valentine,Fun,3+ years,Fitness,Prefers practical gifts,Rare Choice,Expression of Love,Disliked,In-Person,No Wrapping,Fashion Accessories
Female,34,Married,Luxury (>$500),First Valentine,Surprise,1-3 years,Travel,Has allergies,Rare Choice,Expression of Love,Neutral,Online Delivery,Eco-Friendly,Perfume
Non-Binary,47,Engaged,Medium ($20-$100),Long-Distance Valentine,Luxury,6 months - 1 year,Art,Prefers experiences over items,Moderately Popular,Celebration,Disliked,Planned Surprise,Minimalist,Jewelry
Other,25,Single,Medium ($20-$100),Anniversary Valentine,Romantic,3+ years,Travel,Handmade gifts appreciated,Rare Choice,Celebration,Neutral,In-Person,Fancy Wrapping,Jewelry
Other,57,Dating,High ($100-$500),Long-Distance Valentine,Surprise,3+ years,Fitness,Handmade gifts appreciated,Rare Choice,Apology,Never Given Gift Before,Planned Surprise,Minimalist,Handmade Gift
Other,50,Single,High ($100-$500),Anniversary Valentine,Practical,1-3 years,Gaming,Loves surprises,Very Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,20,Married,High ($100-$500),Anniversary Valentine,Fun,3+ years,Fitness,Prefers practical gifts,Very Popular,Apology,Disliked,Online Delivery,Minimalist,Jewelry
Non-Binary,38,Married,Luxury (>$500),Casual Valentine,Romantic,6 months - 1 year,Art,Prefers experiences over items,Rare Choice,Apology,Neutral,Online Delivery,No Wrapping,Fashion Accessories
Female,40,Single,Medium ($20-$100),Anniversary Valentine,Fun,6 months - 1 year,Travel,Enjoys luxury items,Very Popular,Apology,Highly Appreciated,Courier,No Wrapping,Subscription Service
Other,26,Single,Medium ($20-$100),Anniversary Valentine,Romantic,3+ years,Reading,Enjoys luxury items,Moderately Popular,Celebration,Never Given Gift Before,Courier,No Wrapping,Jewelry
Female,32,Married,High ($100-$500),Anniversary Valentine,Romantic,3+ years,Cooking,Has allergies,Very Popular,Apology,Never Given Gift Before,Courier,Minimalist,Chocolates
Non-Binary,21,Complicated,Medium ($20-$100),Casual Valentine,Fun,1-3 years,Music,Has allergies,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,No Wrapping,Perfume
Female,33,Married,Luxury (>$500),Long-Distance Valentine,Fun,<6 months,Sports,Has allergies,Rare Choice,Spontaneous Surprise,Disliked,Online Delivery,Fancy Wrapping,Chocolates
Non-Binary,53,Complicated,Luxury (>$500),Anniversary Valentine,Sentimental,3+ years,Technology,Has allergies,Rare Choice,Expression of Love,Neutral,Courier,Minimalist,Jewelry
Female,26,Dating,Low (<$20),Long-Distance Valentine,Romantic,<6 months,Sports,Has allergies,Rare Choice,Spontaneous Surprise,Never Given Gift Before,In-Person,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,48,Married,Luxury (>$500),Anniversary Valentine,Romantic,<6 months,Cooking,Has allergies,Moderately Popular,Spontaneous Surprise,Neutral,In-Person,No Wrapping,Personalized Gift
Other,43,Single,Low (<$20),Long-Distance Valentine,Surprise,6 months - 1 year,Reading,Handmade gifts appreciated,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,No Wrapping,Handmade Gift
Non-Binary,54,Complicated,Medium ($20-$100),First Valentine,Romantic,<6 months,Technology,Has allergies,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Eco-Friendly,Chocolates
Female,52,Married,Medium ($20-$100),Casual Valentine,Romantic,1-3 years,Sports,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Subscription Service
Other,26,Engaged,Medium ($20-$100),Long-Distance Valentine,Practical,6 months - 1 year,Reading,Has allergies,Very Popular,Expression of Love,Highly Appreciated,Planned Surprise,Eco-Friendly,Fashion Accessories
Non-Binary,36,Single,High ($100-$500),First Valentine,Surprise,6 months - 1 year,Reading,Tech-savvy,Moderately Popular,Celebration,Disliked,Planned Surprise,No Wrapping,Perfume
Male,29,Single,Luxury (>$500),Casual Valentine,Surprise,6 months - 1 year,Gaming,Prefers practical gifts,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,No Wrapping,Fashion Accessories
Male,25,Engaged,High ($100-$500),First Valentine,Romantic,<6 months,Fitness,Enjoys luxury items,Very Popular,Apology,Disliked,Planned Surprise,Fancy Wrapping,Chocolates
Male,26,Engaged,Luxury (>$500),Anniversary Valentine,Luxury,1-3 years,Travel,Enjoys luxury items,Moderately Popular,Apology,Never Given Gift Before,Courier,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Non-Binary,24,Married,Low (<$20),Anniversary Valentine,Sentimental,1-3 years,Cooking,Loves surprises,Rare Choice,Spontaneous Surprise,Disliked,Planned Surprise,Minimalist,Chocolates
Non-Binary,33,Single,Luxury (>$500),Casual Valentine,Sentimental,<6 months,Fitness,Has allergies,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,Fancy Wrapping,Perfume
Female,18,Engaged,Medium ($20-$100),Anniversary Valentine,Luxury,1-3 years,Music,Tech-savvy,Very Popular,Apology,Highly Appreciated,Planned Surprise,Minimalist,Perfume
Male,45,Single,Luxury (>$500),Anniversary Valentine,Surprise,3+ years,Fashion,Handmade gifts appreciated,Very Popular,Apology,Highly Appreciated,Planned Surprise,Fancy Wrapping,Tech Gadgets
Male,54,Complicated,High ($100-$500),Long-Distance Valentine,Practical,<6 months,Music,Handmade gifts appreciated,Moderately Popular,Apology,Disliked,Courier,No Wrapping,Chocolates
Female,29,Engaged,Low (<$20),First Valentine,Luxury,6 months - 1 year,Sports,Tech-savvy,Rare Choice,Expression of Love,Disliked,Planned Surprise,Eco-Friendly,Chocolates
Other,34,Married,High ($100-$500),Casual Valentine,Luxury,1-3 years,Travel,Prefers experiences over items,Moderately Popular,Celebration,Neutral,Courier,Eco-Friendly,Chocolates
Male,30,Engaged,Luxury (>$500),First Valentine,Fun,1-3 years,Fashion,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Highly Appreciated,Planned Surprise,No Wrapping,Personalized Gift
Male,59,Complicated,Luxury (>$500),Long-Distance Valentine,Practical,3+ years,Fashion,Loves surprises,Moderately Popular,Apology,Highly Appreciated,Courier,Fancy Wrapping,Perfume
Male,34,Engaged,Low (<$20),Anniversary Valentine,Practical,3+ years,Gaming,Tech-savvy,Very Popular,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Handmade Gift
Female,55,Married,Luxury (>$500),Casual Valentine,Luxury,<6 months,Music,Handmade gifts appreciated,Moderately Popular,Expression of Love,Disliked,Courier,No Wrapping,Fashion Accessories
Non-Binary,26,Married,High ($100-$500),Anniversary Valentine,Surprise,1-3 years,Fashion,Tech-savvy,Moderately Popular,Celebration,Neutral,In-Person,No Wrapping,Jewelry
Female,20,Complicated,Luxury (>$500),Anniversary Valentine,Fun,<6 months,Fashion,Loves surprises,Very Popular,Apology,Never Given Gift Before,Courier,No Wrapping,Fashion Accessories
Male,42,Engaged,Medium ($20-$100),First Valentine,Romantic,1-3 years,Fitness,Prefers experiences over items,Rare Choice,Celebration,Highly Appreciated,In-Person,No Wrapping,Flowers
Male,59,Married,Luxury (>$500),Long-Distance Valentine,Romantic,<6 months,Travel,Handmade gifts appreciated,Rare Choice,Apology,Highly Appreciated,Courier,No Wrapping,Tech Gadgets
Male,39,Single,Low (<$20),First Valentine,Practical,6 months - 1 year,Gaming,Has allergies,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Tech Gadgets
Non-Binary,35,Engaged,Luxury (>$500),Casual Valentine,Fun,<6 months,Fashion,Loves surprises,Very Popular,Spontaneous Surprise,Neutral,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,39,Single,Luxury (>$500),Anniversary Valentine,Romantic,3+ years,Gaming,Prefers experiences over items,Very Popular,Apology,Disliked,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,54,Engaged,Luxury (>$500),First Valentine,Romantic,1-3 years,Gaming,Loves surprises,Very Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,57,Single,High ($100-$500),Long-Distance Valentine,Fun,6 months - 1 year,Travel,Loves surprises,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Handmade Gift
Female,43,Engaged,Medium ($20-$100),Long-Distance Valentine,Luxury,6 months - 1 year,Art,Prefers experiences over items,Rare Choice,Apology,Neutral,Planned Surprise,Minimalist,Personalized Gift
Other,38,Complicated,High ($100-$500),First Valentine,Practical,1-3 years,Reading,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,Minimalist,Fashion Accessories
Male,39,Married,Luxury (>$500),First Valentine,Practical,1-3 years,Art,Prefers experiences over items,Rare Choice,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Handmade Gift
Other,50,Engaged,Medium ($20-$100),Casual Valentine,Sentimental,6 months - 1 year,Fitness,Loves surprises,Rare Choice,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,Flowers
Female,51,Complicated,High ($100-$500),Anniversary Valentine,Practical,6 months - 1 year,Travel,Loves surprises,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Jewelry
